CONDUCTING_EQUIPMENTID,CONNECTIVITY_NODEID,LINKED_EQUIPTYPE,GEOMETRY_COORDINATES,GEOMETRY_WKB
CAB_1658471E:1658471E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1429365372, 34.0934841152]}",bytearray(b'\x01\x01\x00\x00\x00\\+J\xdf%\x89]\xc0`\xbd\x98I\xf7\x0bA@')
42981854_1579868E:1579868E,42981854,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1340145048, 34.0983396638]}",bytearray(b'\x01\x01\x00\x00\x00\x90\xd3\x92\xb1\x93\x88]\xc0\xd7\xf5\xe3d\x96\x0cA@')
4761140E$4435581E,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.146100288, 34.1011075271], [-118.1461855804, 34.1003785612]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00[\xb9\x05\xb5Y\x89]\xc0\x10#i\x17\xf1\x0cA@\xbf\xbd\xc3\x1a[\x89]\xc0j\xc9f4\xd9\x0cA@')
43021052_ND43021052$ND43019959,43021052,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1281071305, 34.0998770041]}",bytearray(b'\x01\x01\x00\x00\x00q\xf8?\xe82\x88]\xc0\xb1\x1d\t\xc5\xc8\x0cA@')
1431254E:42981549,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.1284590636, 34.1002891657]}",bytearray(b'\x01\x01\x00\x00\x00[B]\xac8\x88]\xc0\x8di\x7fF\xd6\x0cA@')
210332487_210332484,210332487,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1344233131, 34.0977778321]}",bytearray(b'\x01\x01\x00\x00\x00he=d\x9a\x88]\xc0W\x92\xe7\xfb\x83\x0cA@')
58629555_293588A6B4B9EE34E0637F61810A7CE3,58629555,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1445537897, 34.1016653761]}",bytearray(b'\x01\x01\x00\x00\x00\x8f\xd1\x89^@\x89]\xc0\x16\xbe\xfc^\x03\rA@')
4513975E:42981761,-999999,CUTOUT,"{'type': 'LineString', 'coordinates': [[-118.1285248228, 34.0985305802], [-118.1285273023, 34.0984279305]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\x9d\xa9-\xc09\x88]\xc0\xb5\xcei\xa6\x9c\x0cA@b\x01\x94\xca9\x88]\xc0WASI\x99\x0cA@')
55295942_293588B3D784EE34E0637F61810A7CE3,55295942,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1355507448, 34.0984953906]}",bytearray(b'\x01\x01\x00\x00\x00S\xf7\x07\xdd\xac\x88]\xc0\x85\xb78\x7f\x9b\x0cA@')
55295499_1658471E$4535081E,55295499,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1422231726, 34.0934737394]}",bytearray(b'\x01\x01\x00\x00\x009\xc38/\x1a\x89]\xc0\x00\xe1\x8e\xf2\xf6\x0bA@')
5054766:B5054766-2,-999999,UG_SWITCH,"{'type': 'Point', 'coordinates': [-118.1342078626, 34.098100502]}",bytearray(b'\x01\x01\x00\x00\x00\xea.\x93\xdc\x96\x88]\xc0\xd5\xe7\xa7\x8e\x8e\x0cA@')
508349H:51229810,-999999,CUTOUT,"{'type': 'LineString', 'coordinates': [[-118.1374846979, 34.1001161014], [-118.1374871654, 34.1000134513]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\x95K\x9e\x8c\xcc\x88]\xc0s\xa8\xba\x9a\xd0\x0cA@\xd1\xc0\xf7\x96\xcc\x88]\xc0.?\xa3=\xcd\x0cA@')
210332486_BS0867-R$210332484,210332486,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1343465546, 34.0977763722]}","bytearray(b'\x01\x01\x00\x00\x00\x96\x95J""\x99\x88]\xc0\xd4u\xa8\xef\x83\x0cA@')"
42981651_1279511E:42981649,42981651,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1263498561, 34.0993695439]}",bytearray(b'\x01\x01\x00\x00\x00r\xf3\xb4\x1d\x16\x88]\xc0m\xa2&$\xb8\x0cA@')
508576H:508576H,-999999,POTHEAD,"{'type': 'LineString', 'coordinates': [[-118.1385251465, 34.0992036844], [-118.1385227282, 34.0990649892]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x00\x08y\x93\x98\xdd\x88]\xc0\x03\x12\xd2\xb4\xb2\x0cA@\xca\xd7n\x8e\xdd\x88]\xc0te\\)\xae\x0cA@')
