REGION_NAME,SYSTEM_ID,SYSTEM_NAME,ABANK_MRID,SBTRN_SUB_KEY,SBTRN_SUB_SECTION_NAME,SBTRN_SUB_ALIASNAME,SBTRN_SUB_TYPE,SBTRN_SUB_KEY,SUB_KEY,SUB_ID,SUB_NUM,SUB_NAME,SUB_LATITUDE,SUB_LONGITUDE,SUB_TYPE,SUB_PARENT_KEY,CIRCUIT_KEY,CIRCUIT_NAME,CIRCUIT_KV
RURALS,66,VICTOR,B1C74AB01D4BD8C0E053A040810A12E1,ABK_1622_8049,,VICTOR,A-BANK,ABK_1622_8049,SUB_1829_8000,1829,8000,ROADWAY,34.576184,-117.41321,D -- DISTRIBUTION,,CKT_3822_09643,KENWORTH,12
METRO EAST,32,PADUA,B1C83FDA0A9995B9E053A140810ACB23,ABK_314_5060,,PADUA,A-BANK,ABK_314_5060,SUB_738_5611,738,5611,LIVE OAK,34.121138,-117.731927,S -- SUB-TRANSMISSION,,CKT_2313_06634,FORBES,12
SAN JACINTO VALLEY,46,VALLEY,B1C83FDA0C2295B9E053A140810ACB23,ABK_349_5070,SEC_ABC,VALLEY,A-BANK,ABK_349_5070,SUB_2077_7684,2077,7684,PERRIS P.T.,33.78411834,-117.244677,D -- DISTRIBUTION,SUB_1778_8024,CKT_5943_13965,PERRIS,12
METRO EAST,45,MIRA LOMA,B1C74AB01D7CD8C0E053A040810A12E1,ABK_343_5069,,MIRA LOMA,A-BANK,ABK_343_5069,SUB_806_5679,806,5679,CHASE,33.845,-117.537552,S -- SUB-TRANSMISSION,,CKT_442_02690,CALIFORNIA,12
SAN JACINTO VALLEY,46,VALLEY,B1C83FDA0C2295B9E053A140810ACB23,ABK_349_5070,SEC_ABC,VALLEY,A-BANK,ABK_349_5070,SUB_1625_8089,1625,8089,MAYBERRY,33.736431,-116.919962,S -- SUB-TRANSMISSION,,CKT_1277_13467,PACHEA,12
METRO WEST,48,LIGHTHIPE,B1C74AB01D82D8C0E053A040810A12E1,ABK_357_5073,SEC_DEF,LIGHTHIPE,A-BANK,ABK_357_5073,SUB_863_5744,863,5744,OLDFIELD,33.846176,-118.177093,D -- DISTRIBUTION,SUB_907_5785,CKT_3857_06750,FREELAND,4
METRO EAST,22,WALNUT,B1C83FDA0B6095B9E053A140810ACB23,ABK_290_5014,,WALNUT,A-BANK,ABK_290_5014,SUB_289_5014,289,5014,WALNUT,34.0079,-117.949692,T -- TRANSMISSION,,CKT_2891_04201,COUNTRYWOOD,12
METRO EAST,20,MESA,B1C74AB01D64D8C0E053A040810A12E1,ABK_284_5012,,MESA,A-BANK,ABK_284_5012,SUB_402_5121,402,5121,GARFIELD,34.125229,-118.149539,S -- SUB-TRANSMISSION,,CKT_1272_12120,OXLEY,4
ORANGE,52,BARRE,B1C83FDA0C2895B9E053A140810ACB23,ABK_366_5081,SEC_AB,BARRE,A-BANK,ABK_366_5081,SUB_363_5081,363,5081,BARRE,33.809354,-117.982415,T -- TRANSMISSION,,CKT_2446_11212,MARIGOLD,12
METRO EAST,45,MIRA LOMA,B1C74AB01D7CD8C0E053A040810A12E1,ABK_343_5069,,MIRA LOMA,A-BANK,ABK_343_5069,SUB_1776_8275,1776,8275,JEFFERSON,33.857922,-117.588126,S -- SUB-TRANSMISSION,,CKT_4030_10163,LAST,12
METRO EAST,40,CHINO,B1C74AB01D77D8C0E053A040810A12E1,ABK_2216_5062,SEC_C,CHINO,A-BANK,ABK_2216_5062,SUB_746_5617,746,5617,GANESHA,34.057477,-117.77545,S -- SUB-TRANSMISSION,,CKT_2377_03472,CHIME,12
METRO WEST,47,HINSON,B1C74AB01D80D8C0E053A040810A12E1,ABK_351_5071,,HINSON,A-BANK,ABK_351_5071,SUB_831_5712,831,5712,CAMERON,33.819269,-118.217171,S -- SUB-TRANSMISSION,,CKT_3831_09680,KIDD,12
